timecentral,lat,lon,headwaysecs,scheduledheadwaysecs,HR,HS,PR,I_PW
2022-06-19 00:00:00,30.293190878306877,-97.73792805291005,1687.359947089947,1693.142857142857,0.9936444597091423,0.7352851511280678,0.9936444597091423,279.0
2022-06-19 01:00:00,30.29548407993339,-97.73847070774355,1686.6534554537886,1715.270607826811,0.9805535988885282,0.710112694348574,1.019446401111472,132.0
2022-06-19 02:00:00,30.278059066570187,-97.73700410274964,1732.6257597684514,1692.5470332850941,0.9792466979073347,0.6853375619180722,0.9792466979073347,296.0
2022-06-19 03:00:00,30.279623303964758,-97.73577281938326,1741.818208516887,1710.1321585903083,0.9803981073584598,0.7171553085010183,0.9803981073584598,107.0
2022-06-19 04:00:00,,,,,,,,0.0
2022-06-19 05:00:00,30.315932320574163,-97.71724531100477,1076.7370813397129,1090.1913875598086,0.9969582668793195,0.7454728490772526,0.9969582668793195,37.0
2022-06-19 06:00:00,30.28751948675221,-97.72934159473421,1534.0644392601232,1500.5206632227962,0.9712377937549301,0.6127822309115396,0.9712377937549301,1383.0
2022-06-19 07:00:00,30.285360879852266,-97.73381928019081,1515.301769707229,1495.7872504135728,0.9730582188179699,0.5838692010884119,0.97305821881797,3701.0
2022-06-19 08:00:00,30.285293025604297,-97.73227854180841,1495.3792050134286,1472.7210384959712,0.9771243022890139,0.5433380471963135,0.9771243022890139,4146.0
2022-06-19 09:00:00,30.282915821288693,-97.73342612561089,1544.195254930505,1512.6038958788256,0.9679475005884741,0.5424059892182919,0.9679475005884742,4285.0
2022-06-19 10:00:00,30.283996993453023,-97.7328695538607,1554.2577180075596,1515.2815199784018,0.9632259576066822,0.5332009074190927,0.9632259576066822,4089.0
2022-06-19 11:00:00,30.284094725622058,-97.73288254472092,1540.2299428379288,1503.9578345662408,0.9631360747313256,0.5381287700875337,0.9631360747313256,3791.0
2022-06-19 12:00:00,30.28458905200946,-97.73308641067207,1556.536258020939,1503.1622087132725,0.9519704242441802,0.5123788571880528,0.9519704242441802,5018.0
2022-06-19 13:00:00,30.28585923254878,-97.73158230268893,1534.6111781667003,1499.5423456045062,0.9642804354079837,0.5140283151092115,0.9642804354079837,4978.0
2022-06-19 14:00:00,30.285119137653453,-97.73243624807137,1533.753085798618,1496.652948279332,0.9612333890372438,0.5433553693781912,0.9612333890372438,5350.0
2022-06-19 15:00:00,30.284561308045586,-97.73250359959177,1529.7241639734648,1490.6184044905597,0.958497817581009,0.5475092066181693,0.958497817581009,5142.0
2022-06-19 16:00:00,30.28478460868119,-97.73243845202063,1513.121031099285,1488.1451854315649,0.9704420650810266,0.545215443394492,0.9704420650810266,4340.0
2022-06-19 17:00:00,30.286221578476603,-97.73259766924019,1552.6171876471142,1506.1192448921947,0.9597262888264853,0.4903879814150881,0.9597262888264853,3906.0
2022-06-19 18:00:00,30.28449587289149,-97.73306960407473,1514.062407720543,1502.6742689817297,0.9865363731208319,0.508933160775042,0.9865363731208319,3967.0
2022-06-19 19:00:00,30.2857699933205,-97.73286317865703,1534.781874975443,1514.0915484656791,0.9800143136118158,0.510721115661974,0.9800143136118159,4220.0
2022-06-19 20:00:00,30.289039229718494,-97.73297666884429,1728.9600011877894,1700.834184582492,0.9764113570247999,0.5914461526857808,0.9764113570247999,3100.0
2022-06-19 21:00:00,30.290237766003777,-97.73368484056708,1780.042575119756,1767.5328301156433,0.9919220264502171,0.6338354450941988,0.9919220264502171,3405.0
2022-06-19 22:00:00,30.288319823891527,-97.73413070599237,1669.3504714408168,1679.8097093430997,0.9949804020401544,0.6406526479018767,1.0050195979598457,2038.0
2022-06-19 23:00:00,30.294761666666666,-97.73006860042734,1430.267094017094,1440.5982905982905,0.9904190012662234,0.612856262876883,1.0095809987337765,374.0
2022-06-20 00:00:00,30.301362851405624,-97.73158622489959,1351.2659973226237,1316.4658634538152,0.9753541201844416,0.7059612382798532,0.9753541201844415,119.0
2022-06-20 01:00:00,,,,,,,,0.0
2022-06-20 02:00:00,,,,,,,,0.0
2022-06-20 03:00:00,,,,,,,,0.0
2022-06-20 04:00:00,30.299620822249093,-97.70934243047158,1343.0772672309552,1477.6239419588876,0.9270861324667093,0.7074050601123746,1.0729138675332908,0.0
2022-06-20 05:00:00,30.285202629662656,-97.72503590949621,1474.6037152622976,1486.4134343884677,0.9989799794316765,0.6616535168819889,0.9989799794316766,837.0
2022-06-20 06:00:00,30.285324070023385,-97.73290029543266,1390.0191360572294,1376.824700784152,0.9782532096645062,0.5431747294268643,0.9782532096645062,2850.0
2022-06-20 07:00:00,30.289143563418698,-97.73475352831237,1448.1533540435419,1407.82727180886,0.9455957656557248,0.4028447347569327,0.9455957656557247,5334.0
2022-06-20 08:00:00,30.290190810152193,-97.73287360844176,1431.8316083498091,1389.289001793186,0.9469396170466247,0.35316137902464484,0.9469396170466248,7003.0
2022-06-20 09:00:00,30.28836484955108,-97.73075384785247,1332.4633802475128,1298.1316670710992,0.9495585847517296,0.4443928999806934,0.9495585847517297,6333.0
2022-06-20 10:00:00,30.28768836553985,-97.73165804901912,1355.5753559023533,1309.4213590333154,0.9335126412175097,0.421437922521383,0.9335126412175095,6234.0
2022-06-20 11:00:00,30.28662768097977,-97.73178306624355,1379.1822887742958,1323.467324474415,0.9478012511304035,0.37274755453854713,0.9478012511304034,6501.0
2022-06-20 12:00:00,30.286312925758867,-97.73163406924296,1346.801516518347,1310.3928075094477,0.9584326690209697,0.4154901513573367,0.9584326690209697,6359.0
