timecentral,nextstopid,headwaysecs,lat,lon,scheduledheadwaysecs,HR,HS,PR,I_PW
2022-06-19 00:00:00,6315.0,1539.81,30.260887000000004,-97.73756,1800.0,0.8554499999999999,0.887590278716841,1.14455,0.0
2022-06-19 00:01:00,2613.0,1498.3,30.285073333333333,-97.72522666666667,1800.0,0.832388888888889,0.8712442737699133,1.1676111111111112,0.0
2022-06-19 00:02:00,2613.0,1494.2166666666665,30.286748333333335,-97.72439333333334,1800.0,0.8301203703703703,0.8915778004562283,1.1698796296296297,0.0
2022-06-19 00:03:00,1655.0,1459.8999999999999,30.28822,-97.72381666666666,1800.0,0.8110555555555555,0.8665565616653711,1.1889444444444446,0.0
2022-06-19 00:04:00,1655.0,1485.1333333333332,30.287805000000002,-97.72373833333334,1800.0,0.8250740740740742,0.8841550489883261,1.174925925925926,0.0
2022-06-19 00:05:00,1655.0,1506.0666666666666,30.28797,-97.72401666666667,1800.0,0.8367037037037037,0.8790701364715724,1.1632962962962963,0.0
2022-06-19 00:06:00,6342.0,1503.7333333333333,30.288813333333334,-97.72483,1800.0,0.8354074074074074,0.9102084661712191,1.1645925925925926,0.0
2022-06-19 00:07:00,4709.0,1490.3,30.288246666666666,-97.72593666666667,1800.0,0.8279444444444444,0.9017718076223644,1.1720555555555556,0.0
2022-06-19 00:08:00,4144.0,1413.2,30.28722,-97.72682,1800.0,0.7851111111111111,,1.214888888888889,0.0
2022-06-19 00:09:00,4708.0,1515.8,30.287508000000003,-97.724756,1800.0,0.8421111111111111,0.9123891971399772,1.157888888888889,0.0
2022-06-19 00:10:00,2436.0,1517.7666666666667,30.28833333333333,-97.72434666666668,1800.0,0.8432037037037037,0.9042467430632682,1.1567962962962963,0.0
2022-06-19 00:11:00,6336.0,1350.5,30.29954,-97.72243,1800.0,0.7502777777777778,,1.2497222222222222,0.0
2022-06-19 00:12:00,4707.0,1606.4,30.282874999999997,-97.72581,1800.0,0.8924444444444445,0.9434314575050762,1.1075555555555554,0.0
2022-06-19 00:13:00,5447.0,1531.0333333333335,30.289496666666665,-97.72517666666666,1800.0,0.850574074074074,0.9225259435432203,1.1494259259259259,0.0
2022-06-19 00:14:00,6419.0,1570.6000000000001,30.289663333333333,-97.72687,1800.0,0.8725555555555555,0.926363861696871,1.1274444444444445,0.0
2022-06-19 00:15:00,3291.0,1551.3000000000002,30.25882,-97.74632500000001,1800.0,0.8618333333333335,0.8742135603689264,1.1381666666666665,0.0
2022-06-19 00:16:00,3291.0,1583.6,30.256615,-97.74775,1800.0,0.8797777777777778,0.8881199937322618,1.1202222222222222,0.0
2022-06-19 00:17:00,,,,,,,,,0.0
2022-06-19 00:18:00,5669.0,1560.6999999999998,30.248525,-97.74831499999999,1800.0,0.8670555555555555,0.9390316819776933,1.1329444444444445,0.0
2022-06-19 00:19:00,5669.0,1565.6,30.247169999999997,-97.748285,1800.0,0.8697777777777778,0.9453170755882403,1.1302222222222222,0.0
2022-06-19 00:20:00,6332.0,1587.425,30.2476925,-97.7476925,1800.0,0.8819027777777778,0.9417231247642532,1.1180972222222223,0.0
2022-06-19 00:21:00,6409.0,1618.25,30.249885,-97.7460775,1800.0,0.8990277777777778,0.9227054495396719,1.1009722222222222,0.0
2022-06-19 00:22:00,5925.0,1648.8000000000002,30.249395,-97.74417,1800.0,0.9160000000000001,0.8786919033164411,1.084,0.0
2022-06-19 00:23:00,,,,,,,,,0.0
2022-06-19 00:24:00,6294.0,1636.15,30.2460925,-97.7445475,1800.0,0.9089722222222223,0.9042284471817539,1.0910277777777777,0.0
2022-06-19 00:25:00,2629.0,1654.75,30.247439999999997,-97.74366166666665,1800.0,0.9193055555555555,0.9013095264582177,1.0806944444444444,0.0
2022-06-19 00:26:00,4915.0,1646.075,30.24639,-97.7445375,1800.0,0.9144861111111111,0.9006722661388484,1.085513888888889,0.0
2022-06-19 00:27:00,5999.0,1635.325,30.2458075,-97.744435,1800.0,0.908513888888889,0.9060924697993017,1.0914861111111112,0.0
2022-06-19 00:28:00,5999.0,1561.54,30.261032,-97.73269,1800.0,0.8675222222222223,0.8694598377869198,1.1324777777777777,0.0
2022-06-19 00:29:00,6342.0,1615.7833333333335,30.245606666666664,-97.741955,1800.0,0.8976574074074074,0.8660945680267819,1.1023425925925925,0.0
2022-06-19 00:30:00,6322.0,1578.98,30.262436,-97.731184,1800.0,0.8772111111111112,0.8590852941634989,1.1227888888888888,0.0
2022-06-19 00:31:00,5263.0,1643.625,30.24708,-97.739115,1800.0,0.913125,0.8204226018568364,1.086875,0.0
2022-06-19 00:32:00,5263.0,1451.8799999999999,30.297340000000002,-97.708424,1800.0,0.8065999999999999,0.8523995299281466,1.1934,0.0
2022-06-19 00:33:00,4707.0,1267.5,30.336586666666665,-97.68411666666667,1800.0,0.7041666666666666,0.996795065532921,1.2958333333333334,0.0
2022-06-19 00:34:00,5447.0,1258.05,30.339525000000002,-97.687835,1800.0,0.6989166666666666,0.9998035814496704,1.3010833333333334,0.0
2022-06-19 00:35:00,6419.0,1260.8,30.34089,-97.692125,1800.0,0.7004444444444444,0.9989786235382861,1.2995555555555556,0.0
2022-06-19 00:36:00,,,,,,,,,0.0
2022-06-19 00:37:00,,,,,,,,,0.0
2022-06-19 00:38:00,,,,,,,,,0.0
2022-06-19 00:39:00,,,,,,,,,0.0
2022-06-19 00:40:00,,,,,,,,,0.0
2022-06-19 00:41:00,,,,,,,,,0.0
2022-06-19 00:42:00,,,,,,,,,0.0
2022-06-19 00:43:00,,,,,,,,,0.0
